"","Ticker","SEC_Company_ID"
"722","PSTG",1474432
"723","NYMX",1018735
"724","LMAT",1158895
"725","FENX",1615153
"726","UNH",731766
"727","TIF",98246
"729","AABA",1011006
"730","GNTX",355811
"731","RRTS",1440024
"736","PTX",1024126
"738","CTHR",1015155
"739","OTIV",1021604
"743","INWK",1350381
"744","HZN",1637655
"745","VIVO",794172
"746","BKU",1504008
"749","MOG-A",67887
"752","OII",73756
"753","TSLA",1318605
"755","GPRE",1309402
"756","LDL",60977
"757","PKE",76267
"758","CBIO",1124105
"759","SGRY",1638833
"763","PRSC",1220754
"764","RTN",1047122
"765","CENT",887733
"766","GBT",1629137
"771","BAS",1109189
"773","AOSL",1387467
"774","DOV",29905
"775","CSS",20629
"778","PLNT",1637207
"779","MOH",1179929
"780","TCMD",1027838
"787","MBI",814585
"791","AQMS",1621832
"794","LAKE",798081
"795","GHDX",1131324
"796","HLI",1302215
"800","CDR",761648
"807","XTNT",1453593
"808","DLTH",1649744
"811","COP",1163165
"812","TMO",97745
"813","VTVT",1641489
"816","NTAP",1002047
"818","JEC",52988
"819","WMB",107263
"820","APD",2969
"821","CSWC",17313
"822","AAXN",1069183
"824","HPE",1645590
"825","CVA",225648
"826","LKQ",1065696
"828","LITE",1633978
"831","DLTR",935703
"832","TRVN",1429560
"833","VER",1507385
"834","NEOS",1467652
"835","MCFT",1638290
"839","HRS",202058
"841","NNBR",918541
"842","ADP",8670
"845","ISTR",1602658
"846","DAL",27904
"847","ABCD",1466815
"851","DAKT",915779
"852","FSLR",1274494
"854","KN",1587523
"855","EBAY",1065088
"858","HRG",109177
"859","LOB",1462120
"861","GCO",18498
"862","PDLI",882104
"865","HUN",1307954
"867","NTRA",1604821
"868","SPNE",1637761
"870","GD",40533
"874","ACOR",1008848
"875","TDOC",1477449
"880","OOMA",1327688
"882","GNRT",1443799
"883","JWN",72333
"895","MCRN",1637913
"897","CFMS",1305773
"899","SMTC",88941
"903","QSII",708818
"904","CDOR",929545
"905","AMPH",1297184
"906","OLLI",1639300
"912","MACK",1274792
"916","PYPL",1633917
"917","ATU",6955
"918","ZNGA",1439404
"919","OHAI",1297704
"920","BW",1630805
"923","ALPN",1626199
"924","BLD",1633931
"925","MGRC",752714
"926","CIDM",1173204
"927","LCI",57725
"928","TREE",1434621
"931","UNVR",1494319
"935","WING",1636222
"939","ETP",1161154
"946","CNFR",1502292
"948","GKOS",1192448
"951","ALNY",1178670
"952","HP",46765
"955","TWTR",1418091
"957","HALO",1159036
"958","WTT",878828
"959","ZION",109380
"961","DTRM",1090908
"962","ETFC",1015780
"967","MAR",1048286
"969","PWR",1050915
"970","AGTC",1273636
"971","MCRB",1609809
"974","NBIX",914475
"980","CHFC",19612
"981","AAON",824142
"987","NRIM",1163370
"991","ATSG",894081
"993","MLI",89439
"999","CNX",1070412
"1000","CPE",928022
"1001","DMLP",1172358
"1002","PUB",1636286
"1007","ABEO",318306
"1009","RYN",52827
"1012","ORLY",898173
"1014","HUBB",48898
"1016","KLAC",319201
"1019","SYMC",849399
"1022","ACXM",733269
"1025","VISI",103872
